Customer,Order,Time,Quantity,PricePerLb,CostPerLb,LagPrice
1,0,9,3.5,2.125714286,1.585,2.2
1,0,0.071428571,1.1502,3.247261346,1.78,2.125714286
1,0,6.285714286,0.205,2.4,1.534,3.208137715
1,0,10,1.025,2.1,1.75,2.05
1,1,0.285714286,0.232,2.603448276,1.92,2.1
1,0,0.714285714,1.0584,2.947845805,2.13,2.1
2,0,0.428571429,0.53596,2.592917382,1.730738701,2.353725155
2,0,9.714285714,1.37138,2.539923289,1.845733888,3.309171131
2,1,19.42857143,0.126400038,2.5316448,1.699129231,2.539923289
3,0,14.85714286,0.05448,4.763215859,1.825198238,2.796429418
3,0,4.142857143,0.05448,4.763215859,1.825198238,4.763215859
4,0,67,0.51006,2.268752696,1.737386945,2.687461774
4,0,4,0.47438,2.379948564,1.723586365,2.268752696
4,0,2,0.6605,2.828160485,1.856142053,3.139643861
4,0,11.28571429,0.7267,2.366175864,1.874106458,2.828160485
5,0,1.571428571,0.96624,2.272727273,1.736666667,2.914798206
5,0,1.142857143,0.284,2.394366197,1.998,2.597495019
5,1,5.285714286,0.0669,2.959641256,1.86,2.421524664
6,0,0.714285714,0.672,3.470238095,1.26,3.846153846
6,1,4,2.1023,3.366788755,2.610407649,3.810541311
6,1,4.285714286,0.592,3.547297297,1.41,3.366788755
6,1,9.285714286,1.9925,2.100376412,1.710950394,3.547297297
7,0,2.714285714,0.0364,4.945054945,1.88,3.736263736
8,1,5.142857143,0.08985,3.138564274,1.674140234,3.24822695
8,0,0.714285714,0.5575,2.242152466,1.70151,3.63086233
8,0,17.28571429,0.1564,3.033887468,1.733375959,2.242152466
8,0,0.071428571,0.03305,3.177004539,1.696785716,3.033887468
8,1,1.428571429,0.0085,5.882352941,1.81225,3.177004539
9,0,8,8.63076,2.204976155,1.826981781,2.922535211
9,0,0.571428571,0.2454,2.885085575,1.73,2.77027027
9,0,0.571428571,7.164,2.624232273,2.235602085,2.885085575
9,0,2,0.11326,4.220377892,2.65,2.624232273
9,0,32.42857143,0.1152,2.465277778,1.768166667,4.220377892
9,1,3.857142857,0.168,3.25,1.93,2.465277778
9,1,5.714285714,0.58946,2.588250263,1.978622489,3.25
10,0,15.71428571,1.704,2.059859155,1.83,2.286791723
10,0,14.14285714,2.272,2.098591549,1.83,2.059859155
10,0,4.571428571,1.704,2.020246479,1.83,2.098591549
10,0,10.28571429,0.26235,4.204307223,2.565439866,2.020246479
10,0,16.14285714,1.704,2.059859155,1.83,4.204307223
10,0,26.85714286,0.852,2.399647887,1.83,2.059859155
10,1,5.285714286,0.568,2.348591549,1.83,2.399647887
11,1,18,0.08542,3.980332475,2.447932189,4.852681202
11,0,8.714285714,0.00756,7.936507937,1.82,3.980332475
12,0,0.285714286,0.01084,5.996309963,1.82398524,3.270337533
12,0,2.285714286,0.03623,5.133866961,3.109942037,3.297297297
12,0,4,0.1073,4.156570364,2.533558824,5.133866961
12,0,4.714285714,0.35975,2.689367616,1.665885396,4.156570364
13,1,11,0.01774,5.63697858,2.84,6.111111111
13,0,5.714285714,0.05629,5.240717712,1.674932432,2.828854314
13,1,24.28571429,0.0494,4.858299595,1.702995951,5.240717712
13,0,0.428571429,0.02,8.25,1.835166665,4.858299595
14,1,2.285714286,0.14018,4.137537452,2.880325296,4.310753198
14,0,6,0.01194,7.537688442,2.5,4.137537452
14,0,0.071428571,0.07846,3.250063727,1.748870762,7.537688442
14,0,2.285714286,0.12379,2.271265854,1.621623718,3.250063727
15,0,5,0.2981,2.95202952,1.85,3.333333333
15,0,1.285714286,0.1056,3.181818182,1.9,3.181818182
15,0,10,0.0644,4.192546584,1.9,3.988183161
15,0,5.285714286,0.06924,3.812824957,1.745693068,4.192546584
15,0,1.714285714,0.105,3.142857143,1.88,3.812824957
16,1,1.285714286,0.255,2.75,1.8495,2.767857143
16,1,1.285714286,0.185,2.75,1.77,2.85
16,0,2.571428571,0.21135,3.706647741,1.67203454,2.749736008
16,1,1.714285714,0.267,2.85,1.88,9.107142857
16,1,4,0.08364,3.347680536,1.55,2.85
17,1,2.285714286,0.0476,2.920168067,1.796666666,4.75
17,1,0.142857143,0.30939,3.148130192,1.809184524,2.740472661
17,0,0.142857143,1.22,2.286885246,1.83,3.148130192
17,1,0.142857143,0.05696,3.072331461,1.60475,3.38028169
17,1,3.285714286,0.26636,2.829816789,1.820908545,2.5
17,0,0.142857143,4.3728,3.013172338,1.795554336,2.653138871
17,0,0.428571429,0.0564,2.59929078,1.97,2.589502019
17,0,3.428571429,0.20102,2.448512586,1.806992807,2.597730139
18,1,1.714285714,0.04988,2.947072975,1.82588586,2.954545455
19,1,22.14285714,0.1359,3.079470199,2.6,5.855371605
19,0,30.14285714,0.11628,4.989680083,2.786821465,3.079470199
19,0,5.142857143,0.0864,4.861111111,3.5,4.725274725
19,1,16.42857143,0.04428,5.036133695,3.19,4.349627175
19,0,9.285714286,0.13013,4.810574041,3.53,5.036133695
20,1,1.714285714,0.085,3.642470588,1.7575,3.059360731
