gender,SeniorCitizen,Partner,Dependents,PhoneService,Contract,PaperlessBilling,MonthlyCharges,Churn
Female,0,Yes,No,No,Month-to-month,Yes,29.85,No
Male,0,No,No,Yes,One year,No,56.95,No
Male,0,No,No,Yes,Month-to-month,Yes,53.85,Yes
Male,0,No,No,No,One year,No,42.3,No
Female,0,No,No,Yes,Month-to-month,Yes,70.7,Yes
Female,0,No,No,Yes,Month-to-month,Yes,99.65,Yes
Male,0,No,Yes,Yes,Month-to-month,Yes,89.1,No
Female,0,No,No,No,Month-to-month,No,29.75,No
Female,0,Yes,No,Yes,Month-to-month,Yes,104.8,Yes
Male,0,No,Yes,Yes,One year,No,56.15,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,49.95,No
Male,0,No,No,Yes,Two year,No,18.95,No
Male,0,Yes,No,Yes,One year,No,100.35,No
Male,0,No,No,Yes,Month-to-month,Yes,103.7,Yes
Male,0,No,No,Yes,Month-to-month,Yes,105.5,No
Female,0,Yes,Yes,Yes,Two year,No,113.25,No
Female,0,No,No,Yes,One year,No,20.65,No
Male,0,No,Yes,Yes,Two year,No,106.7,No
Female,0,Yes,Yes,Yes,Month-to-month,No,55.2,Yes
Female,0,No,No,Yes,Month-to-month,Yes,90.05,No
Male,1,No,No,No,Month-to-month,Yes,39.65,Yes
Male,0,Yes,No,Yes,One year,No,19.8,No
Male,0,No,No,Yes,Month-to-month,No,20.15,Yes
Female,0,Yes,No,Yes,Two year,Yes,59.9,No
Male,0,Yes,Yes,Yes,Month-to-month,No,59.6,No
Female,0,No,No,Yes,Month-to-month,Yes,55.3,No
Male,0,Yes,Yes,Yes,Month-to-month,Yes,99.35,Yes
Male,0,Yes,Yes,No,Month-to-month,No,30.2,Yes
Male,0,Yes,No,Yes,Two year,Yes,90.25,No
Female,0,No,Yes,Yes,Month-to-month,Yes,64.7,Yes
Female,1,Yes,No,Yes,Two year,Yes,96.35,No
Male,1,Yes,No,Yes,Month-to-month,Yes,95.5,No
Female,0,Yes,Yes,Yes,One year,No,66.15,No
Male,0,No,No,Yes,Month-to-month,No,20.2,No
Male,1,No,No,Yes,Month-to-month,No,45.25,No
Female,0,Yes,Yes,Yes,Two year,No,99.9,No
Male,0,No,No,Yes,Month-to-month,Yes,69.7,Yes
Female,0,No,No,Yes,Month-to-month,Yes,74.8,No
Male,0,No,No,Yes,Month-to-month,Yes,106.35,Yes
Female,0,No,No,Yes,Month-to-month,Yes,97.85,Yes
Male,0,Yes,Yes,Yes,One year,No,49.55,No
Female,0,Yes,Yes,Yes,Two year,Yes,69.2,No
Female,0,Yes,Yes,Yes,One year,No,20.75,No
Female,0,No,No,Yes,Two year,Yes,79.85,No
Female,0,Yes,No,Yes,Month-to-month,Yes,76.2,No
Female,0,No,No,Yes,Month-to-month,Yes,84.5,No
Male,0,No,No,Yes,Month-to-month,No,49.25,No
Female,0,No,No,Yes,Month-to-month,Yes,80.65,Yes
Male,0,No,No,Yes,Two year,Yes,79.75,No
Female,0,Yes,Yes,Yes,Two year,Yes,64.15,No
Female,1,No,No,Yes,Month-to-month,Yes,90.25,No
Female,0,No,No,Yes,Month-to-month,Yes,99.1,Yes
Female,1,Yes,No,Yes,Month-to-month,Yes,69.5,No
Female,1,Yes,No,Yes,Month-to-month,Yes,80.65,Yes
Female,1,Yes,Yes,Yes,One year,Yes,74.85,No
Male,1,No,No,Yes,Month-to-month,Yes,95.45,Yes
Female,0,Yes,Yes,Yes,One year,Yes,99.65,No
Male,1,Yes,Yes,Yes,One year,Yes,108.45,No
Female,0,Yes,Yes,Yes,Two year,No,24.95,No
Female,0,No,No,Yes,Two year,Yes,107.5,No
Female,0,Yes,No,Yes,Month-to-month,Yes,100.5,No
Male,0,No,No,Yes,Month-to-month,Yes,89.9,No
Male,0,Yes,No,No,Two year,No,42.1,No
Female,0,Yes,Yes,Yes,One year,Yes,54.4,No
Female,0,No,No,Yes,Month-to-month,No,94.4,Yes
Female,0,No,No,Yes,Month-to-month,Yes,75.3,No
Male,0,Yes,No,Yes,One year,Yes,78.9,No
Female,0,No,No,Yes,Two year,No,79.2,No
Female,0,Yes,Yes,Yes,Two year,No,20.15,No
Male,0,No,No,Yes,Month-to-month,Yes,79.85,No
Male,0,No,No,Yes,Month-to-month,No,49.05,No
Female,0,Yes,Yes,Yes,One year,Yes,20.4,No
Male,1,Yes,Yes,Yes,Two year,Yes,111.6,No
Male,0,Yes,Yes,Yes,Two year,Yes,24.25,No
Female,0,No,Yes,Yes,Month-to-month,Yes,64.5,No
Female,1,No,No,Yes,One year,No,110.5,No
Female,0,No,No,Yes,One year,No,55.65,No
Female,0,Yes,Yes,Yes,Month-to-month,No,54.65,No
Male,1,No,No,Yes,Month-to-month,Yes,74.75,No
