Sales,Price,AdSpend,AdSpend2,Price4.9,Price5.9
499,3.9,1,0,0,0
595,3.9,1,0,0,0
496,3.9,1,0,0,0
607,3.9,1,0,0,0
550,3.9,1,0,0,0
989,3.9,2,1,0,0
721,3.9,2,1,0,0
823,3.9,2,1,0,0
1001,3.9,2,1,0,0
881,3.9,2,1,0,0
382,4.9,1,0,1,0
429,4.9,1,0,1,0
410,4.9,1,0,1,0
500,4.9,1,0,1,0
430,4.9,1,0,1,0
522,4.9,2,1,1,0
800,4.9,2,1,1,0
612,4.9,2,1,1,0
633,4.9,2,1,1,0
646,4.9,2,1,1,0
374,5.9,1,0,0,1
437,5.9,1,0,0,1
385,5.9,1,0,0,1
313,5.9,1,0,0,1
378,5.9,1,0,0,1
332,5.9,2,1,0,1
479,5.9,2,1,0,1
468,5.9,2,1,0,1
467,5.9,2,1,0,1
438,5.9,2,1,0,1
