User,Movie,Rating
65,111,2
66,35,2
98,150,3
23,1,4
77,130,3
96,64,4
98,45,4
34,102,3
29,103,3
94,49,3
2,29,3
77,55,3
9,8,3
5,27,3
59,89,4
1,6,2
92,95,3
99,1,3
84,138,4
5,131,3
5,12,3
93,74,4
15,5,3
71,149,4
64,40,4
20,4,2
97,15,4
45,146,4
94,103,2
65,45,3
66,81,3
91,84,3
48,82,3
59,36,3
91,89,3
21,87,3
89,33,4
68,132,3
73,36,3
53,104,3
5,100,2
86,93,3
90,9,3
79,10,4
43,41,3
20,138,2
34,27,3
69,129,2
44,84,2
72,38,3
41,102,4
53,28,4
38,148,2
80,121,3
65,22,2
5,86,3
72,67,3
67,47,4
84,82,3
93,100,3
25,124,3
82,149,4
5,62,3
41,136,3
4,101,3
59,109,4
90,102,3
15,63,3
88,55,3
35,85,2
43,11,3
48,52,3
57,14,3
71,38,3
18,46,4
35,114,2
36,80,4
19,48,3
61,73,3
24,139,2
43,44,3
54,84,3
90,71,3
68,136,3
11,137,4
86,5,3
77,66,3
80,11,4
28,65,3
57,48,3
66,59,3
37,89,3
97,72,4
99,109,3
11,102,4
50,48,3
61,12,3
99,17,2
57,117,3
71,92,4
21,148,3
29,119,3
25,86,4
20,38,2
35,37,2
52,54,3
24,19,3
89,20,3
26,80,3
92,23,4
89,36,3
6,73,4
17,135,3
62,134,3
68,131,2
46,68,3
80,66,3
80,120,3
86,108,4
10,31,4
100,14,2
30,12,3
13,19,3
40,141,3
36,84,3
50,115,2
61,24,3
92,57,4
84,58,4
68,79,3
95,81,3
20,112,2
60,87,2
100,134,2
71,95,3
34,134,3
48,14,4
14,10,2
81,110,3
59,6,4
49,63,3
68,122,3
78,50,3
43,59,3
81,141,2
5,102,3
56,60,2
81,125,3
29,54,3
31,95,2
74,117,3
34,25,3
57,114,3
100,115,2
24,130,2
24,133,2
56,10,3
87,19,3
94,147,2
2,22,2
95,146,3
60,54,2
2,128,2
27,141,3
13,129,3
66,44,3
98,74,4
51,17,3
59,25,4
19,15,3
84,57,4
52,100,3
10,40,4
15,51,3
86,31,4
89,19,4
30,82,2
25,131,3
99,128,3
68,42,4
100,41,2
29,127,3
25,110,4
20,13,2
38,54,2
39,12,3
33,26,3
23,64,4
92,112,3
47,58,4
73,4,3
2,97,3
87,119,3
18,108,4
23,72,4
45,49,4
65,20,2
44,137,3
56,74,3
44,89,2
54,9,3
42,57,3
47,71,4
31,91,2
21,34,3
43,147,3
16,88,2
45,44,4
41,28,4
68,72,3
68,64,3
84,113,4
24,121,2
73,28,3
2,11,3
84,88,4
12,13,4
100,39,2
43,36,2
3,30,2
71,49,4
59,90,4
96,81,3
15,57,3
53,60,3
61,87,3
22,140,5
56,124,3
77,129,3
79,32,4
32,42,4
68,66,3
14,135,2
38,79,2
59,133,4
83,43,3
9,74,3
22,100,3
22,63,3
48,125,4
2,113,3
28,27,2
50,60,2
29,24,3
71,5,3
59,135,3
94,116,3
1,67,2
98,119,3
36,89,3
6,42,4
51,82,2
16,122,3
66,8,3
74,107,3
30,107,3
21,139,3
66,96,3
23,86,5
79,73,4
46,101,3
99,145,3
94,142,2
36,68,3
27,70,3
66,22,2
19,128,2
34,131,2
62,57,4
43,48,3
82,14,4
60,97,2
44,97,3
13,98,4
24,108,2
15,13,3
34,145,4
92,42,5
27,103,3
1,133,3
29,85,3
69,140,3
2,95,2
32,22,3
42,11,3
97,49,4
55,89,3
98,131,3
17,106,4
74,134,3
90,30,3
80,84,3
52,30,3
59,3,4
28,72,3
84,22,3
40,85,3
95,108,3
89,46,3
73,13,3
30,108,3
21,42,4
89,112,3
8,6,3
62,106,4
9,44,3
75,116,2
20,52,2
77,111,3
56,117,3
11,5,3
98,80,4
13,102,4
83,88,3
94,149,3
89,69,3
12,53,5
55,146,3
53,94,3
53,70,4
17,118,4
32,24,3
5,136,3
33,28,2
91,56,3
82,147,4
100,33,3
56,19,3
78,119,3
4,145,3
65,16,2
20,14,3
53,4,4
91,74,4
94,12,2
39,133,4
41,108,4
10,75,4
61,142,3
99,60,2
57,65,3
91,52,3
48,124,3
42,70,3
55,36,2
32,137,4
46,89,3
1,127,2
66,89,3
32,148,3
78,80,4
79,106,4
41,34,3
71,148,3
57,47,4
83,141,2
48,59,3
42,139,3
27,59,2
60,33,3
39,15,4
12,58,4
50,141,2
44,7,2
32,90,3
55,3,2
50,90,2
35,67,1
76,119,3
51,11,3
8,102,4
55,131,2
51,90,3
6,149,4
56,65,3
85,109,4
62,45,4
69,28,3
2,103,2
36,119,3
65,146,3
51,44,4
88,89,3
39,126,2
89,144,4
83,42,4
86,7,4
43,47,3
9,125,3
95,139,3
53,127,4
88,80,4
61,7,3
64,130,3
68,28,3
31,92,3
97,73,4
82,62,4
30,40,3
13,133,4
4,29,3
14,41,2
2,106,3
62,96,4
78,62,3
2,26,3
85,95,3
71,97,3
73,102,3
72,115,3
91,49,3
31,19,4
74,128,3
17,80,4
62,119,3
98,70,3
28,66,2
86,86,4
8,123,3
53,75,4
30,66,2
50,104,2
43,35,2
99,124,3
53,23,4
80,41,3
75,4,2
10,106,3
61,132,3
93,3,3
32,78,3
87,103,3
42,89,3
31,44,4
16,37,3
30,105,3
91,119,3
28,83,2
22,28,3
41,73,4
12,132,4
14,115,2
75,15,2
84,4,4
29,15,4
66,56,3
8,40,4
9,124,3
61,29,3
45,56,3
84,133,4
87,24,3
8,83,3
97,124,3
72,76,3
95,22,3
16,148,3
83,46,3
3,145,2
61,131,2
32,50,4
89,40,4
44,120,1
26,64,3
13,81,3
24,53,3
21,69,3
28,125,3
26,16,3
44,21,3
88,97,3
26,61,2
10,99,4
43,30,3
87,148,3
65,83,3
92,82,4
37,75,4
41,6,3
58,28,4
50,40,3
27,109,3
70,148,3
87,149,3
34,90,3
